Name,Address,City,State,Country,Zip,Latitude,Longitude
Grand Rapids Friends Meeting,24 Fountain St NE,Grand Rapids,MI,USA,49503,42.96517013,-85.66666375
San Jose Friends Meeting (Quakers),"1041 Morse St, San Jose, CA 95126",San Jose,CA,USA,95126,37.34137516,-121.9282744
Syracuse Friends Meeting,826 Euclid Ave,Syracuse,NY,USA,13210,43.03622036,-76.11928811
Virginia Beach Friends Meeting,1537 Laskin Rd,Virginia Beach,VA,USA,23451,36.85041802,-76.01443971
Portland Friends Meeting (Quakers),1837 Forest Ave,Portland,ME,USA,4103,43.70070375,-70.31754058
Honolulu Friends Meeting,2426 Oahu Ave,Honolulu,HI,USA,96822,21.30724297,-157.8180803
Homewood Friends,3107 N Charles St,Baltimore,MD,USA,21218,39.32621564,-76.61736581
Detroit Friends Meeting,19309 Greenfield Rd,Detroit,MI,USA,48235,42.43236435,-83.2004345
Dallas Friends Meeting,5828 Worth St,Dallas,TX,USA,75214,32.80689143,-96.756248
Quakers of Orlando,316 E Marks St,Orlando,FL,USA,32803,28.55652805,-81.37294655
The St. Petersburg Religious Society of Friends (Quakers),130 19th Ave SE,St. Pete,FL,USA,33705,27.75138746,-82.633293
Friends Meeting of Washington,2111 Decatur Pl NW,Washington DC,DC,USA,20008,38.91342831,-77.04757429
Atlanta Friends Meeting,701 W Howard Ave,Decatur,GA,USA,30030,33.76713133,-84.3066097
Friends Center,1501 Cherry St,Philadelphia,PA,USA,19102,39.9558559,-75.16488993
Montreal Quaker Meeting,"1090 Ave Greene, Westmount",Montreal,QB,Canada,H3Z 1Z9,45.48471267,-73.58551286
Ottawa Monthly Meeting,91a Fourth Ave,Ottawa,ON,Canada,ON K1S 2L1,45.40310914,-75.6866716
Des Moines Valley Friends Quaker Meeting,4211 Grand Ave,Des Moines,IA,USA,50312,41.58475742,-93.67468461
Live Oak Friends Meeting,1318 W 26th St,Houston,TX,USA,77008,29.80936615,-95.42348406
Reno Friends Meeting,497 Highland Ave,Reno,NV,USA,89512,39.54046922,-119.8089292
Albuquerque Friends Meeting,1600 5th St NW,Albuquerque,NM,USA,87102,35.10014633,-106.6496735
Religious Society of Friends,1090 W 70th Ave,Vancouver,BC,Canada,V6P 2X9,49.20827271,-123.1314629
Multnomah Friends Meeting,4312 SE Stark St ,Portland,OR,USA,97215,45.51912837,-122.6173045
Sacramento Friends Meeting, 890 57th St,Sacramento,CA,USA,95819,38.5656529,-121.4336052
Orange Country Friends Meeting,2845 Mesa Verde Dr E # 8,Costa Mesa,CA,USA,92626,33.67387846,-117.9263504
Providence Friends,99 Morris Ave,Providence,RI,USA,2906,41.83577704,-71.39782995
Community Friends Meeting,3960 Winding Way,Cincinnati ,OH,USA,45229,39.15380678,-84.47564839
