Trip Name,Start Date,Finish Date,Order
St. Petersburg,2020-12-13,2021-11-17,1
Memphis,2021-11-18,2021-11-28,2
Denver,2021-11-19,2022-01-02,3
Nashville,2022-01-03,2022-02-07,4
St. Petersburg (2),2022-02-08,2022-05-24,5
Costa Rica,2022-05-25,2022-05-30,6
St. Petersburg (3),2022-05-31,2022-07-01,7
Europe Trip 2022,2022-07-02,2022-07-10,8
St. Petersburg (4),2022-07-11,2022-08-01,9
San Jose,2022-08-01,2022-08-21,10
San Diego,2022-08-22,2022-09-11,11
St. Petersburg (5),2022-09-12,2022-11-26,12
Chicago,2022-11-27,2023-01-15,13
Fort Worth,2023-01-16,2023-01-29,14
Los Angeles,2023-01-30,2023-02-27,15
St. Petersburg (6),2023-02-28,2023-03-26,16
Des Moines,2023-03-27,2023-04-14,17
First Disney Cruise,2023-04-15,2023-04-23,18
Toledo,2023-04-24,2023-05-07,19
Madison,2023-05-08,2023-05-28,20
Tulsa,2023-05-29,2023-06-18,21
Washington D.C.,2023-06-19,2023-07-23,22
Montreal,2023-07-24,2023-07-30,23
Albany,2023-07-31,2023-08-13,24
Philadelphia,2023-08-14,2023-09-10,25
St. Petersburg (7),2023-09-11,2023-09-15,26
Monterrey,2023-09-16,2023-10-01,27
Lubbock,2023-10-02,2023-10-15,28
Albuquerque,2023-10-16,2023-11-05,29
Reno,2023-11-06,2023-11-19,30
San Francisco,2023-11-20,2023-12-03,31
LK Leave 2023,2023-12-04,2023-12-21,32
San Francisco,2023-12-22,2023-12-31,33
Portland,2024-01-01,2024-01-28,34
Costa Mesa,2024-01-29,2024-02-18,35
Vacation Week 1 2024,2024-02-19,2024-02-25,36
Omaha,2024-02-26,2024-03-24,37
Minneapolis,2024-03-25,2024-04-28,38
Dayton,2024-04-29,2024-05-12,39
Durham,2024-05-13,2024-06-09,40
Columbus,2024-06-10,2024-07-07,41
Houston,2024-07-08,2024-08-04,42
Charlotte,2024-08-05,2024-09-08,43
Greenville,2024-09-09,2024-09-29,44
Atlanta,2024-09-30,2024-10-20,45
Ottawa,2024-10-21,2024-11-10,46
Vacation Week 2 2024,2024-11-11,2024-11-18,47
Hartford,2024-11-19,2024-12-01,48
Syracuse,2024-12-02,2024-12-15,49
Buffalo,2024-12-16,2025-01-05,50
Appleton,2025-01-06,2025-01-26,51
Kalamazoo,2025-01-27,2025-02-09,52
Baltimore,2025-02-10,2025-03-02,53
Fort Lauderdale,2025-03-03,2025-03-30,54
Tampa,2025-03-31,2025-04-20,55
Orlando,2025-04-21,2025-06-01,56
Dallas,2025-06-02,2025-07-03,57
Hawaii,2025-07-04,2025-07-07,58
Edmonton,2025-07-08,2025-07-27,59
Calgary,2025-07-28,2025-08-17,60
Vancouver,2025-08-18,2025-09-07,61
Alaskan Cruise,2025-09-08,2025-09-15,62
Portland (2),2025-09-16,2025-09-28,63
Chicago (2),2025-09-29,2025-10-19,64
Denver (2),2025-10-20,2025-11-16,65
Las Vegas,2025-11-17,2025-11-30,66
Seattle,2025-12-01,2026-01-04,67
Sacramento,2026-01-05,2026-01-25,68
Spokane,2026-01-26,2026-02-08,69
Japan 2026,2026-02-09,2026-02-16,70
Boise,2026-02-17,2026-03-08,71
Detroit,2026-03-09,2026-04-05,72
Grand Rapids,2026-04-06,2026-04-12,73
Mexico Cify,2026-04-13,2026-04-16,74
Grand Rapids (2),2026-04-17,2026-04-26,75
Norfolk,2026-04-27,2026-05-17,76
Providence,2026-05-18,2026-06-07,77
Cincinnati,2026-06-08,2026-07-05,78
