City,State/Province,Total Digs Paid,Company Housing Days,Company Paid,Total Stayed,Daily Cost,Daily Buyout,Per Diem,Daily Housing Buyout,Weekly Buyout,Other Stay,Total Spent,Weeks,Total Buyout,Housing Buyout,Housing Savings,Weekly Savings,Order,Year
Schenectady,New York,1407.53,,0,12,117.294166666667,163,64,99,1141,348,1755.53,2,2282,1386,-369.53,-184.765,1,2023
Philadelphia,Pennsylvania,0,26,2184,26,0,148,64,84,1036,,0,4,4144,2352,168,42,2,2023
Monterrey,Nuevo Leon,0,14,1484,14,0,170,64,106,1190,,0,2,2380,1484,0,0,3,2023
Lubbock,Texas,0,14,1190,14,0,149,64,85,1043,,0,2,2086,1190,0,0,4,2023
Albuquerque,New Mexico,2519.89,0,0,20,125.9945,139,64,75,973,129.5,2649.39,3,2919,1575,-1074.39,-358.13,5,2023
Reno,Nevada,1352.63,,0,12,112.719166666667,144,64,80,1008,244,1596.63,2,2016,1120,-476.63,-238.315,6,2023
San Francisco,California,0,26,2886,26,0,175,64,111,1225,262,262,4,4900,3108,-40,-10,7,2023
Portland,Oregon,3038,0,0,28,108.5,170,64,106,1190,,3038,4,4760,2968,-70,-17.5,1,2024
Costa Mesa,California,217,19,2014,19,11.4210526315789,170,64,106,1190,,217,3,3570,2226,-5,-1.66666666666667,2,2024
Omaha,Nebraska,1335,0,0,28,47.6785714285714,146,64,82,1022,,1335,4,4088,2296,961,240.25,3,2024
Minneapolis,Minnesota,2312,0,0,34,68,133,64,69,931,153.85,2465.85,5,4655,2415,-50.85,-10.17,4,2024
Dayton,Ohio,1872.67,0,0,13,144.051538461538,171,65,106,1197,139.08,2011.75,2,2394,1484,-527.75,-263.875,5,2024
Durham,North Carolina,2750,0,0,28,98.2142857142857,151,65,86,1057,,2750,4,4228,2408,-342,-85.5,6,2024
Columbus,Ohio,1690,0,0,26,65,171,65,106,1197,246.76,1936.76,4,4788,2968,1031.24,257.81,7,2024
Houston,Texas,0,27,2673,27,0,164,65,99,1148,140.53,140.53,4,4592,2772,-41.53,-10.3825,8,2024
Charlotte,North Carolina,3055.22,0,0,33,92.5824242424242,171,65,106,1197,,3055.22,5,5985,3710,654.78,130.956,9,2024
Greenville,South Carolina,0,12,1272,12,0,171,65,106,1197,114,114,2,2394,1484,98,49,10,2024
Atlanta,Georgia,0,0,0,21,0,171,65,106,1197,,0,3,3591,2226,2226,742,11,2024
Ottawa,Ontario,1760.4,0,0,20,88.02,171,65,106,1197,,1760.4,3,3591,2226,465.6,155.2,12,2024
Hartford,Conneticut,0,13,1378,13,0,171,65,106,1197,76.95,76.95,2,2394,1484,29.05,14.525,13,2024
Syracuse,New York,1077.3,0,0,14,76.95,171,65,106,1197,,1077.3,2,2394,1484,406.7,203.35,14,2024
